algoritmo,estrategia,n,tipo,arestas,tempo_medio_ms,executado
findBridges,Naive,100,EULERIANO,118,4.592904,true
findBridges,Tarjan,100,EULERIANO,118,0.236017,true
findBridges,Naive,100,SEMI,121,1.504335,true
findBridges,Tarjan,100,SEMI,121,0.079456,true
findBridges,Naive,100,NAO,118,1.447321,true
findBridges,Tarjan,100,NAO,118,0.080365,true
findBridges,Naive,1000,EULERIANO,1088,82.400915,true
findBridges,Tarjan,1000,EULERIANO,1088,0.763156,true
findBridges,Naive,1000,SEMI,1093,43.317604,true
findBridges,Tarjan,1000,SEMI,1093,0.645543,true
findBridges,Naive,1000,NAO,1092,44.549814,true
findBridges,Tarjan,1000,NAO,1092,0.626035,true
findBridges,Naive,10000,EULERIANO,10909,-1.000000,false
findBridges,Tarjan,10000,EULERIANO,10909,1.221548,true
findBridges,Naive,10000,SEMI,10884,-1.000000,false
findBridges,Tarjan,10000,SEMI,10884,1.160739,true
findBridges,Naive,10000,NAO,10916,-1.000000,false
findBridges,Tarjan,10000,NAO,10916,1.238752,true
findBridges,Naive,100000,EULERIANO,108949,-1.000000,false
findBridges,Tarjan,100000,EULERIANO,108949,19.874413,true
findBridges,Naive,100000,SEMI,109011,-1.000000,false
findBridges,Tarjan,100000,SEMI,109011,19.072797,true
findBridges,Naive,100000,NAO,108982,-1.000000,false
findBridges,Tarjan,100000,NAO,108982,21.167429,true
Fleury,Naive,100,EULERIANO,118,2.279783,true
Fleury,Tarjan,100,EULERIANO,118,0.907448,true
Fleury,Naive,100,SEMI,121,0.533843,true
Fleury,Tarjan,100,SEMI,121,0.660326,true
Fleury,Naive,100,NAO,118,0.075522,true
Fleury,Tarjan,100,NAO,118,0.068654,true
Fleury,Naive,1000,EULERIANO,1088,5.229879,true
Fleury,Tarjan,1000,EULERIANO,1088,28.385503,true
Fleury,Naive,1000,SEMI,1093,5.613657,true
Fleury,Tarjan,1000,SEMI,1093,29.616363,true
Fleury,Naive,1000,NAO,1092,0.584478,true
Fleury,Tarjan,1000,NAO,1092,0.549325,true
Fleury,Naive,10000,EULERIANO,10909,-1.000000,false
Fleury,Tarjan,10000,EULERIANO,10909,20920.131125,true
Fleury,Naive,10000,SEMI,10884,-1.000000,false
Fleury,Tarjan,10000,SEMI,10884,20526.368526,true
Fleury,Naive,10000,NAO,10916,-1.000000,false
Fleury,Tarjan,10000,NAO,10916,1.651478,true
Fleury,Naive,100000,EULERIANO,108949,-1.000000,false
Fleury,Tarjan,100000,EULERIANO,108949,-1.000000,false
Fleury,Naive,100000,SEMI,109011,-1.000000,false
Fleury,Tarjan,100000,SEMI,109011,-1.000000,false
Fleury,Naive,100000,NAO,108982,-1.000000,false
Fleury,Tarjan,100000,NAO,108982,-1.000000,false
